Index	Year	Genre	Simile	Text	Comment
347	2018	Adventure	as stout as a four-century-old, as intellectually complex as the fronds, as singularly focused as the trunk	Eli Jacob Crowley, the famed pioneer figure who spearheaded America's westward expansion by blazing the Crowley Trail in 1838, was an awe-inspiring figure of a man, as stout as a four-century-old oak, as intellectually complex as the fronds of a Florida palm, as singularly focused as the trunk of a Giant Sequoia, though in all other respects, not like a tree at all.	Valid
367	2018	Fantasy & Horror	as a sex symbol as well, more risqué outfit that morning than she	Talila Norpiros, heir to the elven throne and commander of her people’s armed forces, chose a slightly more risqué outfit that morning than she would normally wear to battle, theorizing that if she were presented as a sex symbol as well as a dynamic protagonist, the series might attract a few more male readers and finally make the New York Times bestseller list.	False Positive
374	2018	Historical Fiction	as big as a horse	“Big Bertha” was a giant artillery piece used by the Germans that could hurl shells as big as a horse and cart causing horrific death and destruction over a distance of six miles which is why General Blithering, a brilliant English tactician, established his HQ some seven miles from the front as he preferred not to risk damage to his antique Spode china tea set with the hand-painted blue willow pattern.	Valid
379	2018	Purple Prose	was like a beautiful newborn fawn	Elodie was like a beautiful newborn fawn, with sylphlike legs and owlish eyes that seemed frightened of everything, and a soft voice that one could imagine floating through a misty lea like a dryad's (except that cervids make horrible noises and Harold had already compared her to a deer, not a dryad, and who knew if dryads talked, anyway).	Valid
400	2018	Vile Puns	is like an emetic	“A bad pun is like an emetic,” said Fritz, downing the contents of his one-litre stein and chomping on a sausage—“It brings out the wurst in me.”	Valid
402	2018	Western	as far as a cowboy	After three weeks on the trail, John’s jock rash was (in some places) burning brighter than the West Texas sun—least wise as far as a cowboy could tell with his chaps and britches down and the little mirror his mom had given him.	False Positive
411	2018	Odious Outliers	as exciting as an	Maxine, past her prime (such as it was) and well into early middle age, had an epiphany and resolved to end her addiction to soap operas and switch to a mix of talk and reality shows (with the occasional game show for balance), not knowing the tempest to come, which, although about as exciting as an orthodontists' convention, does illustrate the potential pitfalls of blindly following epiphanies.	Valid
415	2018	Odious Outliers	sound like a particularly glamorous profession but to	It didn't sound like a particularly glamorous profession but to get the post of 'senior equine theriogenologist specialising in artificial insemination' in the Royal stables Edward had had to beat off some really stiff competition.	Valid
425	2017	Adventure	similar to the sound his cat Mister Jingles	As he lay dying on the smoke-wreathed battlefield, General Winthrop finally realized the terrible toll the war had taken, and he wondered if the bloodshed had all been for naught as he exhaled his last breath in a sort of "meoooooh," actually very similar to the sound his cat Mister Jingles made when he wanted some food or was doing that thing with the drapes.	Valid
443	2017	Dark & Stormy	as if it would topple them; as if it would collapse upon us from the	It was a dark and stormy night, the wind at the windows demanded admittance, the rain beat upon the towers as if it would topple them, and the very starry ceiling seemed as if it would collapse upon us from the sheer weight of the gloom; while from behind the bedchamber doors as well came frightful shrieks, but since my mother was in there with her boyfriend, I didn’t want to interrupt them just then.	False Positive
456	2017	Historical Fiction	similar to the sound his cat Mister Jingles	As he lay dying on the smoke-wreathed battlefield, General Winthrop finally realized the terrible toll the war had taken, and he wondered if the bloodshed had all been for naught as he exhaled his last breath in a sort of "meoooooh," actually very similar to the sound his cat Mister Jingles made when he wanted some food or was doing that thing with the drapes.	Valid
466	2017	Purple Prose	as hungry as I	A sweaty Hector threw off his shirt, passion burning, skin glistening, his deodorant congealed to little chunks ensnared among the matted jungle of his armpits like so many crumbles of pungent blue cheese over a bed of sprouts, moistened with a dressing of perspiration, and lustily asked, "Are you as hungry as I am?" to the confused busboy.	Valid
468	2017	Purple Prose	sounds like a gag on a narcissist	The Fall leaf, resplendent in red, gold, and purple, fluttered gently to the ground in front of her; and she knew that Winter was on Fall's heels: soup simmering gently in the crock pot, the snowy night sky reflecting city lights in a color vaguely reminiscent of Donald Trump's hair, while gently falling snow muffled city sounds like a gag on a narcissist.	Valid
483	2017	Romance	as soft as a baby; as beautiful as a thousand	Dean had everything she’d dreamed the perfect boy would have: hair as soft as a baby bunny’s, dimples like the marks you could make pressing your thumb into unbaked cookie dough, eyes as beautiful as a thousand Thomas Kinkade paintings, and the smile of the male lead in an early Olsen-twins comedy, plus he smelled pretty good, too.	Valid
522	2016	Adventure	as well as the soul; as well as the mind; as well as the spirit	The life of a mountain man like Jedediah Buckman is a simple one, a campfire to warm the person as well as the soul, a full moon to illuminate the forest as well as the mind, and game to nourish the body as well as the spirit, though one wonders how he could stomach beaver without mint jelly and a bold, young pinot noir. John Hardi, Falls Church, VA	False Positive
529	2016	Crime & Detective	as though about to spit pus from a dental	She walked toward me with her high heels clacking like an out-of-balance ceiling fan set on low, smiling as though about to spit pus from a dental abscess, and I knew right away that she was going to leave me feeling like I had used a wood rasp to cure my hemorrhoids. Charles Caldwell, Leesville, LA	False Positive
541	2016	Purple Prose	was like my ex-girlfriend Ashley	She was like my ex-girlfriend Ashley, who'd stolen my car, broken my heart, murdered my father, robbed a bank, and set off a pipe bomb in Central Park—tall.	Valid
546	2016	Purple Prose	as lumpy and pear-shaped as the carelessly-thrown-aside	She was uncertain how or when it had happened, but over the years her svelte figure-8 frame had gone lopsided and become a wretched parody of the symmetrical numeral—indeed, the bottom oval was as lumpy and pear-shaped as the carelessly-thrown-aside velour sack of the average mall Santa.	Valid
597	2015	Crime & Detective	as soon as he	When the corpse showed up in the swimming pool, her dead bosoms bobbing up and down like twin poached eggs in hollandaise sauce, Randy decided to call the police as soon as he finished taking pictures of his breakfast and posting them to his Facebook wall.	False Positive
603	2015	Historical Fiction	was like a well-watered topiary	The year was 1792, and the French Royal family was like a well-watered topiary: lush, widespread, and in need of a good pruning.	Valid
617	2015	Purple Prose	was like a tinderbox lying by a roadside	Portly, abrupt Bart Simeon plodded through the citadel with a bearing of tension and anger that was like a tinderbox lying by a roadside waiting for a careless motorist to toss his or her cigarette butt out the window, most likely the passenger if the container lay on the right side of the road, or perhaps the driver with a brusque flick to the left, unless of course if they were in England, in which case it would be the opposite.	Valid
620	2015	Science Fiction	sounds like Eleanor Roosevelt	The gravitational pull up here on Mars is much less than it is back at home base, of course, so your tongue sticks to the roof of our mouth and everyone sounds like Eleanor Roosevelt.	Valid
623	2015	Science Fiction	more powerful than lust	The mighty roar of the awesome atomic engines (louder than a thousand MGM lions, more powerful than lust on a warm summer’s day) erotically thrust the metallic monster into the heavens like some demonic angel escaping from Hell and made the intrepid astronaut swallow his gum.	False Positive
625	2015	Romance	more daddy issues than Boy	Claire had more daddy issues than Boy’s Life magazine published in the late 1970s, but she was a perfect match for Donald, whose personality was vaguely sticky, like the outside of a squeezable honey container or anything handled by a three-year-old.	Valid
635	2015	Science Fiction	sounds like Eleanor Roosevelt	The gravitational pull up here on Mars is much less than it is back at home base, of course, so your tongue sticks to the roof of our mouth and everyone sounds like Eleanor Roosevelt.	False Positive
638	2015	Science Fiction	more powerful than lust	The mighty roar of the awesome atomic engines (louder than a thousand MGM lions, more powerful than lust on a warm summer’s day) erotically thrust the metallic monster into the heavens like some demonic angel escaping from Hell and made the intrepid astronaut swallow his gum.	Valid
676	2014	Fantasy Fiction	more graceful way than the second	The Swan Queen spread her wings with all the quick grace of a businessman hailing a taxi in NYC and leapt high into the air like said businessman swearing and jumping back from the curb as the taxi he was hailing speeds past and splatters him with sludgy city puddle water, but in a more graceful way than the second bit.	False Positive
685	2014	Purple Prose	as if someone had just poured salt on them	The young lovers' lips latched to each other not unlike the way in which two coital snails would, with much slime and suction, frothing as if someone had just poured salt on them.	Valid
686	2014	Purple Prose	was like chocolate	His ex-wife's personality was like chocolate—not the smoky, tangy, exquisitely rich and full-bodied type, but the over-sweet, tooth-cracking, factory-processed, made-with vegetable-oil kind that leaves one with diabetes and an aneurysm the size of a grape.	Valid
706	2014	Odious Outliers	feels like human breath on my neck; is like a Dali with a sky-like awning	There is litter on the highway and there are grey skies and naked trees; the sky so slate of grey that it cuts the sky like a knife, obscuring all horizons; the wind feels like human breath on my neck, heaving over me like it paid for the right, and is like a Dali with a sky-like awning that protects from the truncated blisters of the socket-like cistern of the sun.	Valid
707	2014	Odious Outliers	as well as that	There is litter on the highway and there are grey skies and naked trees; the sky so slate of grey that it cuts the sky like a knife, obscuring all horizons; the wind feels like human breath on my neck, heaving over me like it paid for the right, and is like a Dali with a sky-like awning that protects from the truncated blisters of the socket-like cistern of the sun.	False Positive
709	2014	Odious Outliers	as far as the eye	As I passed the sweating plate glass windows and my own reflection as well as that of the occasional headlight off the interstate of the exit 49 Waffle House pondering whether I would have the late night steak-and-egg breakfast or the covered, smothered, scattered triple hash browns with Tabasco, I caught a glimpse of what looked like the entire cast of Fargo at the counter sending a vague wave of fear over me and the thought that if Armageddon were to be tonight, this would be the epicenter.	False Positive
722	2013	Adventure	as if that had something to do with the	Pine trees stretched as far as the eye could see, which wasn't very far in Gerald's case, since he was overdue for cataract surgery with the only ophthalmologist in town who still took Medicare patients, and their needles whispered gently in the breeze.	False Positive
726	2013	Crime & Detective	as he plugged the burglary as the unmistakable	I told you to wear sensible shoes, but no, your vanity would not allow it! he yelled at me as if that had something to do with the airplane crashing into the jungle and all the bodies draped in the trees, but it was just the sort of nonsense I was used to from him, making me wish one or the other of us was hanging dead above us, instead of Rodney.	False Positive
737	2013	Fantasy Fiction	as if you knew what they were anyway	Seeing Mrs. Kohler sink, Detective Moen flushed as he plugged the burglary as the unmistakable work of Cap Fawcet, the Mad Plumber, for not only had her pool of assets been drained, but her clogs were now missing, and the toilet had been removed, leaving them with absolutely nothing to go on.	False Positive
753	2013	Science Fiction	more ensnared Xabridons than she	This was going to be a science fiction novel until I realized that you actually have to know some real science for it to work well, so I changed it to a fantasy novel instead, because that way I can just make up the rules as I go, unhampered by the laws of physics or chemistry, as if you knew what they were anyway.	False Positive
779	2013	Odious Outliers	was like a golden pouring of honey that	Quoxintia has it all: a diminutive Zylthusian mate with engorged turquoise pedipalps, thirty-three dutiful larvae ready to pupate any day, and more ensnared Xabridons than she could ever pierce and slowly exsanguinate over a period of weeks, but she doesn't have love or, more fundamentally, the myelinated nervous system that makes complex emotions like love possible.	Valid
790	2012	Crime & Detective	as if it belonged to a Persian monk that	The sunset was like a golden pouring of honey that you find in those breakfast jars in good class hotels, some of which ends up on the linen table cloth, the colour of cirrostratus clouds before they have been sunset-soaked.	Valid
799	2012	Purple Prose	more symbolic than anything	The smooth hand I was caressing felt as if it belonged to a  Persian monk that had been rubbing moisturizing body oils on his fellow monks all day (but not in a gay way, come on, he’s a monk for God’s sake), when in all actuality the hand belonged to a body that I had just pulled out of the Potomac for forensic investigation.	False Positive
801	2012	Romance	are like deep blue pools that I	The drugged parrots pelted the village like a hellish rain of feathered fanny packs stuffed with claws and porridge, rendering Claudia’s makeshift rabbit-skin umbrella more symbolic than anything else.	Valid
807	2012	Vile Puns	as surely as she	“Your eyes are like deep blue pools that I would like to drown in,” he had told Kimberly when she had asked him what he was thinking; but what he was actually thinking was that sometimes when he recharges his phone he forgets to put the little plug back in but he wasn’t going to tell her that.	False Positive
815	2012	Odious Outliers	as well as if; more of a hero than I; as if I had really been there	Though they were merely strangers on a train, as she looked North by Northwest though the rear window, Marnie knew beyond a shadow of a doubt the trouble with Harry was that he was a psycho—his left and right hand middle fingers (formerly extended in the birds position) were menacingly twisting a rope in the form of a noose; certain of her impending death as surely as she could dial M for Murder, she was overcome by intense vertigo.	False Positive
816	2012	Odious Outliers	was like flocked wallpaper and her eyes	Many years have passed since the events related here, but I remember them almost as well as if I had really been there, because I think about them frequently, turning them over and over in my mind, changing the facts to make me into more of a hero than I actually might have been, had I been there to do half the things I claim I did.	Valid
835	2011	Purple Prose	as if she were having a swollen barrel of; as if the coconut had been reading	Many years have passed since the events related here, but I remember them almost as well as if I had really been there, because I think about them frequently, turning them over and over in my mind, changing the facts to make me into more of a hero than I actually might have been, had I been there to do half the things I claim I did.	Valid
846	2011	Western	as far as a cowboy	Many years have passed since the events related here, but I remember them almost as well as if I had really been there, because I think about them frequently, turning them over and over in my mind, changing the facts to make me into more of a hero than I actually might have been, had I been there to do half the things I claim I did.	False Positive
848	2011	Odious Outliers	as well as tonal	Her skin was like flocked wallpaper and her eyes had seen better days, but when her bloodless lips murmured “Hi, Sailor,” my heart melted from the inside out like one of those chocolate-covered ice cream bars on a summer day that runs down your arm and gets all over your new shirt.	False Positive
852	2011	Odious Outliers	as silent as the light; as cool as it	She held my hand as if she were having a swollen barrel of fun which was off considering that my teeth were sitting on my bathroom cabinet (eight miles away, no less) and my elbow was peeling like a soggy coconut, the fine hairs of which were standing on edge in fear, as if the coconut had been reading “Dracula.”	Valid
856	2011	Odious Outliers	was like nothing Detective Smith had ever	She held my hand as if she were having a swollen barrel of fun which was off considering that my teeth were sitting on my bathroom cabinet (eight miles away, no less) and my elbow was peeling like a soggy coconut, the fine hairs of which were standing on edge in fear, as if the coconut had been reading “Dracula.”	Valid
868	2010	N/A	as if she were a giant cage-mounted water bottle	After three weeks on the trail, John’s jock rash was (in some places) burning brighter than the West Texas sun—least wise as far as a cowboy could tell with his chaps and britches down and the little mirror his mom had given him.	Valid
906	2009	Crime & Detective	as long as one	Rosy lips aquiver, Lauren drizzled with tears the wave-tousled sands of Wampauset Municipal Area Public Access Beach, hearing in every shriek of shrike and plaint of plover the ancient wai—kreeAHH, kreeAHH!—of good women widowed by the sea, as well as tonal nuances indicating the shorebirds’ relative levels of copulative receptiveness, for our umber-eyed heroine is both lover and ornithologist.	Valid
919	2009	Purple Prose	as if his hands were a green-bean casserole in	Dawn crept up like the panther on the gazelle, except it was light, not dark like a panther, and a panther, though quiet, could never be as silent as the light of dawn, so really the analogy doesn’t hold up well, as cool as it sounds, but it still is a great way to begin a story; just not necessarily this particular one.	Valid
926	2009	Romance	was like that	Dawn crept up like the panther on the gazelle, except it was light, not dark like a panther, and a panther, though quiet, could never be as silent as the light of dawn, so really the analogy doesn’t hold up well, as cool as it sounds, but it still is a great way to begin a story; just not necessarily this particular one.	Valid
965	2008	Romance	as much as when	The grisly scene before him was like nothing Detective Smith had ever seen before, but there were millions and millions of things he had never seen before, and he couldn’t help but wonder which of them it was.	False Positive
993	2007	Fantasy Fiction	as if a gauntlet had been thrown	For the first month of Ricardo and Felicity’s affair, they greeted one another at every stolen rendezvous with a kiss—a lengthy, ravenous kiss, Ricardo lapping and sucking at Felicity’s mouth as if she were a giant cage-mounted water bottle and he were the world’s thirstiest gerbil.	Valid
995	2007	Fantasy Fiction	look like a great rabbit	She walked into my office on legs as long as one of those long-legged birds that you see in Florida – the pink ones, not the white ones – except that she was standing on both of them, not just one of them, like those birds, the pink ones, and she wasn’t wearing pink, but I knew right away that she was trouble, which those birds usually aren’t.	Valid
997	2007	Purple Prose	similar to one another	Warily – as if his hands were a green-bean casserole in a non-tempered glass dish that had just come out of the freezer, and the patient was an oven that had been preheating for a good 75 minutes at 450F – the surgeon slowly reached into the incision and groped for the bullet fragment in the pancreas...	False Positive
1011	2007	Romance	as pregnant as Judith	It was a dark and stormy night, well, not pitch dark so much a plumby, you know, that time of night where it turns into that kind of eggplant color, which I hate – eggplant not the time of night – and it wasn’t stormy so much as drizzly, like a cold that’s not so bad but really annoying, where you sound a little plugged up and all your mucus just sort of hovers at the edge of your nostrils or drips down the back of your throat, it was like that.	Valid
1012	2007	Romance	as flawed as his	He was a dark and stormy knight, which excited Gwendolyn, though not as much as when he’d been Antonio Banderas in drag the night before.	Valid
1039	2006	Crime & Detective	as dead as the musician	Lady Guinevere heard it distinctly, a sharp slap, as if a gauntlet had been thrown … since protocol determined that Arthur should ride in front, then she, then Lancelot.	Valid
1055	2006	Purple Prose	seems like it	At Elvenheim there was great joy, in that the legendary Ring of the Nordlings had been retrieved … even if his buck teeth made him look like a great rabbit.	False Positive
1057	2006	Purple Prose	was like fresh honeydew melon wrapped in	Professor Radzinsky wove his fingers together in a tweed-like fabric … and began his lecture on simile and metaphor, which are, like, similar to one another.	Valid
1062	2006	Romance	was like driving the last-place team on	Sex with Rachel after she turned fifty was like driving the last-place team on the last day of the Iditarod Dog Sled Race, the point no longer the ride but the finish, the difficulty not the speed but keeping all the parts moving in the right direction, not to mention all that irritating barking.	Valid
1080	2006	Misc	as far as you	Getting the performance rating of highly successful, although clearly nothing to be ashamed of, left Blevins somewhat oddly dissatisfied, like when you realize, upon having the triage nurses greet your ambulance, that your underwear, as far as you can determine, is in pretty decent condition, but you'll, nonetheless, never pull through the surgery.	False Positive
1092	2006	Misc	was like any other	The day was like any other, except that this was a Wednesday so it was really only like 1/7th of the other days.	False Positive
1098	2006	Misc	is like an Appaloosa urinating on solid	Her eyelashes fluttered like the windshield wipers of an eighteen-wheeler on the Ohio Turnpike when the weary-eyed driver is trying to have at least some vision in a heavy August rainstorm that is like an Appaloosa urinating on solid asphalt.	Valid
1102	2005	N/A	as if it mattered because Tex finally had an	India, which hangs like a wet washcloth from the towel rack of Asia, presented itself to Tex as he landed in Delhi (or was it Bombay?), as if it mattered because Tex finally had an idea to make his mark and fortune and that idea was a chain of steak houses to serve the millions and he wondered, as he deplaned down the steep, shiny, steel steps, why no one had thought of it before.	False Positive
1111	2005	Dark & Stormy	more fierce than the opening	It was a dark and stormy night, although technically it wasn't black or anything -- more of a gravy color like the spine of the 1969 Scribner's Sons edition of "A Farewell to Arms," and, truth be told, the storm didn't sound any more fierce than the opening to Leon Russell's 1975 classic, "Back to the Island."	Valid
1129	2005	Romance	more curves than an	Billy Bob gushed like a broken water main about his new love: "She's got long, beautiful, drain-clogging hair, more curves than an under-the-sink water trap, and she moves with the ease of a motorized toilet snake through a four-inch sewer line, but what she sees in me, a simple plumber, I'll never know."	Valid
1131	2005	Romance	as bald as Lex	Sandra had waited and wished for Gary to come sweep her off her feet, feeling just like Lois Lane waiting for her handsome, masculine Superman to come fly her away from the humdrum of everyday life, but Gary had never come, and so she'd ended up with Herman, a man as bald as Lex Luthor with worse eyesight than Clark Kent and the maturity level of Jimmy Olsen.	Valid
1138	2005	Western	As soon as Sherriff	As soon as Sherriff Russell heard Bradshaw say, "This town ain't big enough for the both of us," he inadvertantly visualized a tiny chalk-line circle with a town sign that said 'population 1,' and the two of them both trying to stand inside of it rather ineffectively, leaning this way and that, trying to keep their balance without stepping outside of the line, and that was why he was smiling when Bradshaw shot him.	False Positive
1144	2005	Misc	as good as it	James found "Spider-Man 2" to be quite an average movie, like a superhero episode of "Dawson's Creek," but not from the excellent first season, nor from the horrible final seasons, but rather from somewhere in the mid-run of the show, when it wasn't as good as it used to be but it didn't totally suck yet.	False Positive
1145	2005	Misc	as slick as a broken	Rocko Gallante was as slick as a broken egg on a linoleum floor and as polished as a Washington apple that had been spit on and rubbed to a gleaming finish on the tail of a very clean shirt.	Valid
1145	2005	Misc	as polished as a Washington	Rocko Gallante was as slick as a broken egg on a linoleum floor and as polished as a Washington apple that had been spit on and rubbed to a gleaming finish on the tail of a very clean shirt.	Valid
1166	2004	Children's Literature	sounds like a lie	Jack planted the magic beans and in one night a giant beanstalk grew all the way from the earth up to the clouds--which sounds like a lie, but it can be done with genetic engineering, and although a few people are against eating gene-engineered foods like those beans it's a high-paying career to think about for when you grow up.	False Positive
1170	2004	Dark & Stormy	as night is a stretch as it	It was a dark and stormy night--actually not all that dark, but more dusky or maybe cloudy, and to say "stormy" may be overstating things a bit, although the sidewalks were still wettish and smelled of ozone, and, truth be told, characterizing the time as night is a stretch as it was more in the late, late afternoon because I think Oprah was still on.	False Positive
1177	2004	Fiction For The Erudite	as pointed as those	Clementine sat in the shade of a beech tree, of the family Fagaceae, the leaves of which were more or less ovate, being perhaps not quite as pointed as those of the North American, grandifolia species of the Fagus genus that are the color of a swimming pool that had been left too long without chlorine, but neither were they like those of Fagus sylvatica var. purpurea that are the color of dried burgundy stains on cream linen.	Valid
1181	2004	Purple Prose	as tough as a marshmallow--not	She was a tough one, all right, as tough as a marshmallow--not one of those soft sticky ones used in s'mores, cooked to a turn over a good campfire, or even like the stale chewy type covered in yellow sugar and found at the bottom of a three-week-old Easter basket--no, she was tough like a freeze-dried marshmallow in kid's cereal that despite being shaped like a little balloon and colored a friendly pink are so rock solid that they are responsible for the loss of more baby teeth than most older siblings.	Valid
1181	2004	Purple Prose	more baby teeth than most	She was a tough one, all right, as tough as a marshmallow--not one of those soft sticky ones used in s'mores, cooked to a turn over a good campfire, or even like the stale chewy type covered in yellow sugar and found at the bottom of a three-week-old Easter basket--no, she was tough like a freeze-dried marshmallow in kid's cereal that despite being shaped like a little balloon and colored a friendly pink are so rock solid that they are responsible for the loss of more baby teeth than most older siblings.	Valid
1182	2004	Purple Prose	as combustible as a drill	The day was packing heat and cracking wise as the scorching sun torched the hot dry Santa Anas like fry on rice, crispy with a snap, crackle and pop, and poured into the surreal bowl of the Los Angeles Basin as the red winds rattled every dwelling from Bay City bungalow to Bel Air chateau like a china shop in a bullring, the whole stinking, teeming tinderbox as combustible as a drill sergeant at clown college, as unsettling as corn on the cob rationing at an Iowa Society picnic.	Valid
1182	2004	Purple Prose	as unsettling as corn	The day was packing heat and cracking wise as the scorching sun torched the hot dry Santa Anas like fry on rice, crispy with a snap, crackle and pop, and poured into the surreal bowl of the Los Angeles Basin as the red winds rattled every dwelling from Bay City bungalow to Bel Air chateau like a china shop in a bullring, the whole stinking, teeming tinderbox as combustible as a drill sergeant at clown college, as unsettling as corn on the cob rationing at an Iowa Society picnic.	Valid
1187	2004	Romance	as if I can reference a specie of wood	I first saw her from across the crowded dance floor, cedar I think, (as if I can reference a specie of wood planks at a glance) I just know it wasn't that yellowish basketball court wood, the type with the glossy veneer (now THAT, I could recognize), anyway, she had the refined elegance and demure fragility of a really old Princess Leia.	False Positive
1189	2004	Science Fiction	more leg than she	The scorched pasture, with its charred and smoking remains of dead cattle, was the least of Jessica's worries, and as she pondered her shredded gown, newly shaved head, and the quickly disappearing spaceship in the Nevada twilight, she realized if she were going to hitchhike back to Carson City, she'd have to show a damn sight far more leg than she had ever intended.	Valid
1190	2004	Science Fiction	more of a pinky-red rather than a dirty	The huge intergalactic cruiser -- type 4843-56B, class PVT/X -- which was the color of an unripe blood-grapefruit (a sort of orangey-green like the skin, not the deep fuchsia of the flesh in the middle) edged its way carefully between the navigation buoys, which flashed intermittently like a pair of warning lights outside of a fire house, accept they were more of a pinky-red rather than a dirty yellow.	False Positive
